dienststelle,code,ort,lage,richtung,genauigkeit,lat,lon,gefunden_als,osm_link,osm_methode,osm_lat,osm_lon,abstand_osm_m,abstand_strasse_m,stadtteil_laut_ort,stadtteil_des_punkts,pruefen,osm_link_abgleich,manuell
S-01,0008,Innere Kanalstraße,Höhe Hornstr. / Escher Straße,in Fahrtrichtung Zoobrücke,strasse,50.956611,6.95355,"Innere Kanalstraße, 50733 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.956611&mlon=6.953550#map=18/50.956611/6.953550,osm_kreuzung Hornstraße,50.95378,6.940995,935,0,,Nippes,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; 935 m von OSM-Kreuzung,https://www.openstreetmap.org/?mlat=50.953780&mlon=6.940995#map=18/50.953780/6.940995,"50.95401,6.94494 · Innere Kanalstr. zwischen Hornstr. und Escher Str. (OSM-Knoten, Mitte, ±250 m), Richtung Zoobrücke"
S-01,0009,Innere Kanalstraße,Höhe Finanzamt Köln-Nord,in Fahrtrichtung Zoobrücke,strasse,50.956611,6.95355,"Innere Kanalstraße, 50733 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.956611&mlon=6.953550#map=18/50.956611/6.953550,osm_strasse (±2310 m),50.953897,6.942759,815,0,,Nippes,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; Name mehrdeutig,https://www.openstreetmap.org/?mlat=50.953897&mlon=6.942759#map=18/50.953897/6.942759,"50.95621,6.95246 · Innere Kanalstr. vor dem Finanzamt Köln-Nord (Innere Kanalstr. 214, OSM), Richtung Zoobrücke"
S-01,0010,Neustadt/Nord,Innere Kanalstr.zw.Lat177-176,in Fahrtrichtung Zoobrücke,stadtteil,50.947923,6.941061,"Neustadt/Nord, Köln, NW, Deutschland",https://www.openstreetmap.org/?mlat=50.947923&mlon=6.941061#map=18/50.947923/6.941061,osm_strasse (±2310 m),50.953897,6.942759,675,363,Neustadt/Nord,Neustadt/Nord,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=stadtteil; 363 m neben der Straße,https://www.openstreetmap.org/?mlat=50.953897&mlon=6.942759#map=18/50.953897/6.942759,"50.95925,6.96350 · Innere Kanalstr. Höhe Lentstr. (Standortlisten: „Höhe Lentstraße, Richtung Zoobrücke“; Laternen 176/177)"
S-01,0011,Severinsbrücke,,in Fahrtrichtung Deutz,strasse,50.929648,6.958939,"Severinsbrücke, 50676 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.929648&mlon=6.958939#map=18/50.929648/6.958939,osm_strasse (±1000 m),50.92979,6.960603,118,0,,Altstadt-Süd,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; Name mehrdeutig,https://www.openstreetmap.org/?mlat=50.929790&mlon=6.960603#map=18/50.929790/6.960603,"50.93072,6.96789 · Severinsbrücke, Brückenmitte (OSM); genaue Stelle auf der Brücke unbekannt (±400 m)"
S-01,0015,Bundesstraße 55 a,Höhe Ausfahrt Frankfurter Str.,in Fahrtrichtung Olpe,fehlt,,,,,nicht_in_osm,,,,,,,feste Anlage/Kreuzung: einzeln prüfen; kein Geocoder-Treffer,,"50.94885,7.01915 · B 55a zwischen Ab- und Auffahrt Frankfurter Str., Richtung Köln-Ost/Olpe (Pressemitteilung Stadt Köln 14.08.2025; OSM-Kreuzungspunkt)"
S-01,0016,Aachener Straße,Höhe Aachener Weiher geg.130,in Fahrtrichtung stadtauswärts,strasse,50.936912,6.926234,"Jacques' Wein-Depot, Aachener Straße 130, 50674 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.936912&mlon=6.926234#map=18/50.936912/6.926234,osm_hausnummer 130,50.936912,6.926234,0,21,,Neustadt/Süd,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.936912&mlon=6.926234#map=18/50.936912/6.926234,"50.93691,6.92623 · Aachener Str. gegenüber Nr. 130 am Aachener Weiher (OSM-Adresse = Geocoder), stadtauswärts"
S-01,0017,Aachener Straße,Höhe Aachener Weiher,in Fahrtrichtung stadteinwärts,strasse,50.937931,6.860761,"Aachener Straße, 50858 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.937931&mlon=6.860761#map=18/50.937931/6.860761,osm_strasse (±18480 m),50.937526,6.88462,1674,0,,Junkersdorf,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; Name mehrdeutig,https://www.openstreetmap.org/?mlat=50.937526&mlon=6.884620#map=18/50.937526/6.884620,"50.93691,6.92623 · Aachener Str. am Aachener Weiher, stadteinwärts — Gegenrichtung zu 0016; Geocoder lag 4,6 km daneben"
S-01,0023,Chorweiler,Willi-Suth-Allee,in Fahrtrichtung Bezirksportanlage,stadtteil,51.022062,6.898633,"Chorweiler, Köln, NW, Deutschland",https://www.openstreetmap.org/?mlat=51.022062&mlon=6.898633#map=18/51.022062/6.898633,osm_strasse (±420 m),51.022297,6.901359,193,136,Chorweiler,Chorweiler,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=stadtteil; 136 m neben der Straße,https://www.openstreetmap.org/?mlat=51.022297&mlon=6.901359#map=18/51.022297/6.901359,"51.02230,6.90136 · Willi-Suth-Allee, Straßenmitte (OSM, ±400 m); Geocoder nur Stadtteil"
S-01,0024,Chorweiler,Willi-Suth-Allee,in Fahrtrichtung Autobahn 57,stadtteil,51.022062,6.898633,"Chorweiler, Köln, NW, Deutschland",https://www.openstreetmap.org/?mlat=51.022062&mlon=6.898633#map=18/51.022062/6.898633,osm_strasse (±420 m),51.022297,6.901359,193,136,Chorweiler,Chorweiler,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=stadtteil; 136 m neben der Straße,https://www.openstreetmap.org/?mlat=51.022297&mlon=6.901359#map=18/51.022297/6.901359,"51.02230,6.90136 · Willi-Suth-Allee, Straßenmitte (OSM, ±400 m); Geocoder nur Stadtteil"
S-01,0025,Riehl,Boltensternstraße in Höhe SBK,in Fahrtrichtung Barbarastraße,stadtteil,50.963913,6.976871,"Riehl, Köln, NW, Deutschland",https://www.openstreetmap.org/?mlat=50.963913&mlon=6.976871#map=18/50.963913/6.976871,osm_strasse (±600 m),50.967169,6.979779,416,280,Riehl,Riehl,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=stadtteil; 280 m neben der Straße,https://www.openstreetmap.org/?mlat=50.967169&mlon=6.979779#map=18/50.967169/6.979779,"50.96759,6.98049 · Boltensternstr. an der Pforte der Sozial-Betriebe-Köln (Boltensternstr. 16, OSM)"
S-01,0026,Riehl,Boltensternstraße in Höhe SBK,in Fahrtrichtung An der Schanz,stadtteil,50.963913,6.976871,"Riehl, Köln, NW, Deutschland",https://www.openstreetmap.org/?mlat=50.963913&mlon=6.976871#map=18/50.963913/6.976871,osm_strasse (±600 m),50.967169,6.979779,416,280,Riehl,Riehl,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=stadtteil; 280 m neben der Straße,https://www.openstreetmap.org/?mlat=50.967169&mlon=6.979779#map=18/50.967169/6.979779,"50.96759,6.98049 · Boltensternstr. an der Pforte der Sozial-Betriebe-Köln (Boltensternstr. 16, OSM)"
S-01,0027,Bilderstöckchen,Escher Straße Höhe Haus-Nr.154,in Fahrtrichtung Parkgürtel,hausnummer,50.963786,6.936036,"Escher Straße 154, Bilderstöckchen, 50739 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.963786&mlon=6.936036#map=18/50.963786/6.936036,osm_hausnummer 154,50.963786,6.936036,0,16,Bilderstöckchen,Bilderstöckchen,feste Anlage/Kreuzung: einzeln prüfen,https://www.openstreetmap.org/?mlat=50.963786&mlon=6.936036#map=18/50.963786/6.936036,"50.96379,6.93604 · Escher Str. 154 (OSM-Adresse = Geocoder)"
S-01,0028,Bilderstöckchen,Escher Straße ggü. Haus-Nr.146,in Fahrtrichtung Geldernstraße,hausnummer,50.962998,6.936615,"Escher Straße 146, Bilderstöckchen, 50739 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.962998&mlon=6.936615#map=18/50.962998/6.936615,osm_hausnummer 146,50.962998,6.936615,0,15,Bilderstöckchen,Bilderstöckchen,feste Anlage/Kreuzung: einzeln prüfen,https://www.openstreetmap.org/?mlat=50.962998&mlon=6.936615#map=18/50.962998/6.936615,"50.96300,6.93662 · Escher Str. gegenüber Nr. 146 (OSM-Adresse = Geocoder)"
S-01,0029,Holweide,Bergisch Gladbacher Straße,"Höhe Steyler Str., in FR. Mülheim",strasse,50.971734,7.05115,"Bergisch Gladbacher Straße, Holweide, 51067 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.971734&mlon=7.051150#map=18/50.971734/7.051150,osm_strasse (±1420 m),50.968719,7.041065,783,0,Holweide,Holweide,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.968719&mlon=7.041065#map=18/50.968719/7.041065,"50.96757,7.03518 · Kreuzung Bergisch Gladbacher Str./Steyler Str. (OSM-Knoten; Querstraße steht in der Spalte Richtung); Geocoder lag 1,2 km daneben"
S-01,0030,Godorf,"Godorfer Hauptstr., Höhe Otto-","Hahn-Str., in FR. Immendorfer Str.",strasse,50.85026,6.975568,"Godorfer Hauptstraße, 50997 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.850260&mlon=6.975568#map=18/50.850260/6.975568,osm_strasse (±1080 m),50.855523,6.97498,587,0,Godorf,Godorf,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.855523&mlon=6.974980#map=18/50.855523/6.974980,"50.85824,6.97466 · Kreuzung Godorfer Hauptstr./Otto-Hahn-Str. (OSM-Knoten; Querstraße steht in der Spalte Richtung)"
S-01,0031,Holweide,Neufelder Straße,Höhe Krankenhaus in FR. Schwabstr.,strasse,50.969938,7.05511,"Neufelder Straße, Holweide, 51067 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.969938&mlon=7.055110#map=18/50.969938/7.055110,osm_strasse (±550 m),50.967753,7.061097,485,0,Holweide,Holweide,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.967753&mlon=7.061097#map=18/50.967753/7.061097,"50.96940,7.05502 · Neufelder Str. an der Haltestelle „Krankenhaus Holweide“ (OSM)"
S-01,0032,Müngersdorf,"Wendelinstraße, Höhe Schule",in Fahrtrichtung Vitalisstraße,strasse,50.942123,6.879473,"Wendelinstraße, Müngersdorf, 50933 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.942123&mlon=6.879473#map=18/50.942123/6.879473,osm_strasse (±350 m),50.940666,6.879039,165,0,Müngersdorf,Müngersdorf,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.940666&mlon=6.879039#map=18/50.940666/6.879039,"50.94107,6.88061 · Wendelinstr. an der Gemeinschaftsgrundschule Müngersdorf (Wendelinstr. 64, OSM)"
S-01,0033,Neubrück,"Europaring, Höhe Haus Nr.7",in Fahrtrichtung Ernst-Reuter-Str.,hausnummer,50.938727,7.061692,"Europaring 7, Neubrück, 51109 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.938727&mlon=7.061692#map=18/50.938727/7.061692,osm_hausnummer 7,50.938727,7.061692,0,21,Neubrück,Neubrück,feste Anlage/Kreuzung: einzeln prüfen,https://www.openstreetmap.org/?mlat=50.938727&mlon=7.061692#map=18/50.938727/7.061692,"50.93873,7.06169 · Europaring 7 (OSM-Adresse = Geocoder)"
S-01,0034,Zollstock,Militärringstraße,"Höhe Am Eifeltor, in FR. Marienburg",stadtteil,50.909869,6.941747,"Zollstock, Köln, NW, Deutschland",https://www.openstreetmap.org/?mlat=50.909869&mlon=6.941747#map=18/50.909869/6.941747,osm_strasse (±1180 m),50.894759,6.937867,1703,5000,Zollstock,Zollstock,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=stadtteil; 5000 m neben der Straße,https://www.openstreetmap.org/?mlat=50.894759&mlon=6.937867#map=18/50.894759/6.937867,"50.89584,6.92760 · Kreuzung Militärringstr./Am Eifeltor (OSM-Knoten); Geocoder nur Stadtteil"
S-01,0035,Raderthal,"Raderthalgürtel, Höhe Lat.28",in Fahrtrichtung Vorgebirgstraße,strasse,50.904027,6.952631,"Raderthalgürtel, 50968 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.904027&mlon=6.952631#map=18/50.904027/6.952631,osm_strasse (±410 m),50.904133,6.951027,113,0,Raderthal,Raderthal,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.904133&mlon=6.951027#map=18/50.904133/6.951027,"50.90405,6.95020 · Raderthalgürtel an der Europaschule (Gesamtschule, OSM; Standortlisten: „an der Gesamtschule“)"
S-01,0036,Höhenhaus,"Honschaftsstraße, Höhe Schule",in Fahrtrichtung Am Pfropfbusch,strasse,50.982876,7.032006,"Honschaftsstraße, Höhenhaus, 51061 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.982876&mlon=7.032006#map=18/50.982876/7.032006,osm_strasse (±920 m),50.982105,7.032285,88,0,Höhenhaus,Höhenhaus,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.982105&mlon=7.032285#map=18/50.982105/7.032285,"50.98258,7.03294 · Honschaftsstr. an der Kath. Grundschule (Honschaftsstr. 312, OSM)"
S-01,0037,Bilderstöckchen,Schiefersburger Weg ggü. Hs 40,in Fahrtrichtung Longericher Straße,strasse,50.96926,6.932411,"Teppich König, Schiefersburger Weg 40, Bilderstöckchen, 50739 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.969260&mlon=6.932411#map=18/50.969260/6.932411,osm_hausnummer 40,50.96926,6.932411,0,17,Bilderstöckchen,Bilderstöckchen,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.969260&mlon=6.932411#map=18/50.969260/6.932411,"50.96926,6.93241 · Schiefersburger Weg gegenüber Nr. 40 (OSM-Adresse = Geocoder)"
S-01,0038,Vogelsang,Vogelsanger Straße,Höhe Grundschule in FR. Bickendorf,stadtteil,50.956117,6.880102,"Vogelsang, Köln, NW, Deutschland",https://www.openstreetmap.org/?mlat=50.956117&mlon=6.880102#map=18/50.956117/6.880102,osm_strasse (±880 m),50.955627,6.881185,93,33,Vogelsang,Vogelsang,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=stadtteil,https://www.openstreetmap.org/?mlat=50.955627&mlon=6.881185#map=18/50.955627/6.881185,"50.95563,6.88119 · Vogelsanger Str. in Vogelsang auf Höhe der Schulen (Kardinal-Frings-Schule, OSM; ±200 m); Geocoder nur Stadtteil"
S-01,0039,Brück,Brücker Mauspfad,"Höhe BAB-Brücke, in FR. Porz",strasse,50.936899,7.089124,"Brücker Mauspfad, 51109 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.936899&mlon=7.089124#map=18/50.936899/7.089124,osm_strasse (±1390 m),50.944144,7.082289,938,0,Brück,Brück,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.944144&mlon=7.082289#map=18/50.944144/7.082289,"50.94957,7.07893 · Brücker Mauspfad unter der Autobahnbrücke A 3/A 4 (OSM-Kreuzungspunkt); Geocoder lag 1,6 km daneben"
S-01,0040,Bilderstöckchen,Schiefersburger Weg ggü. Hs 40,in Fahrtrichtung Escher Straße,strasse,50.96926,6.932411,"Teppich König, Schiefersburger Weg 40, Bilderstöckchen, 50739 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.969260&mlon=6.932411#map=18/50.969260/6.932411,osm_hausnummer 40,50.96926,6.932411,0,17,Bilderstöckchen,Bilderstöckchen,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.969260&mlon=6.932411#map=18/50.969260/6.932411,"50.96926,6.93241 · Schiefersburger Weg gegenüber Nr. 40 (OSM-Adresse = Geocoder)"
