AccountID;Monat;AC;PY;PL;FC_FY;PL_FY
650010;2026-01;45.9;38.6;44.3;590.9;581.8
650010;2026-02;47.4;39.9;45.8;590.9;581.8
650010;2026-03;50.4;42.3;48.6;590.9;581.8
650010;2026-04;51.8;43.6;50.1;590.9;581.8
650010;2026-05;48.9;41.1;47.2;590.9;581.8
650010;2026-06;51.8;43.6;50.1;590.9;581.8
650020;2026-01;33.5;31.3;34.0;431.3;424.7
650020;2026-02;34.6;32.3;35.1;431.3;424.7
650020;2026-03;36.8;34.3;37.3;431.3;424.7
650020;2026-04;37.8;35.3;38.4;431.3;424.7
650020;2026-05;35.7;33.3;36.2;431.3;424.7
650020;2026-06;37.8;35.3;38.6;431.3;424.7
650030;2026-01;21.9;20.3;21.7;281.9;277.5
650030;2026-02;22.6;20.9;22.4;281.9;277.5
650030;2026-03;24.0;22.2;23.8;281.9;277.5
650030;2026-04;24.7;22.9;24.5;281.9;277.5
650030;2026-05;23.3;21.6;23.1;281.9;277.5
650030;2026-06;24.8;22.8;24.4;281.9;277.5
750110;2026-01;7.0;4.7;0.0;45.0;20.0
750110;2026-02;7.2;4.8;0.0;45.0;20.0
750110;2026-03;7.7;5.1;0.0;45.0;20.0
750110;2026-04;7.9;5.2;0.0;45.0;20.0
750110;2026-05;7.4;5.0;0.0;45.0;20.0
750110;2026-06;7.8;5.2;0.0;45.0;20.0
750120;2026-01;1.1;0.7;0.9;13.7;12.0
750120;2026-02;1.1;0.7;1.0;13.7;12.0
750120;2026-03;1.2;0.8;1.0;13.7;12.0
750120;2026-04;1.2;0.8;1.1;13.7;12.0
750120;2026-05;1.2;0.7;1.0;13.7;12.0
750120;2026-06;1.3;0.8;1.1;13.7;12.0
750130;2026-01;4.4;3.4;4.1;55.3;52.0
750130;2026-02;4.5;3.5;4.2;55.3;52.0
750130;2026-03;4.8;3.7;4.5;55.3;52.0
750130;2026-04;5.0;3.8;4.6;55.3;52.0
750130;2026-05;4.7;3.6;4.3;55.3;52.0
750130;2026-06;4.9;4.0;4.6;55.3;52.0
F_EBITDA;2026-01;;;;;
K_EBITDAMARGIN;2026-01;;;;;
800110;2026-01;8.7;8.2;8.7;112.0;112.1
800110;2026-02;9.0;8.5;9.0;112.0;112.1
800110;2026-03;9.6;9.0;9.6;112.0;112.1
800110;2026-04;9.9;9.3;9.9;112.0;112.1
800110;2026-05;9.3;8.8;9.3;112.0;112.1
800110;2026-06;9.9;9.4;9.9;112.0;112.1
800120;2026-01;6.1;5.8;6.1;77.9;77.9
800120;2026-02;6.3;6.0;6.3;77.9;77.9
800120;2026-03;6.7;6.3;6.7;77.9;77.9
800120;2026-04;6.9;6.5;6.9;77.9;77.9
800120;2026-05;6.5;6.2;6.5;77.9;77.9
800120;2026-06;6.7;6.5;6.9;77.9;77.9
F_EBIT;2026-01;;;;;
K_EBITMARGIN;2026-01;;;;;
850110;2026-01;4.1;3.9;4.1;52.1;53.2
850110;2026-02;4.2;4.0;4.2;52.1;53.2
850110;2026-03;4.5;4.2;4.5;52.1;53.2
850110;2026-04;4.6;4.4;4.6;52.1;53.2
850110;2026-05;4.3;4.1;4.3;52.1;53.2
850110;2026-06;4.6;4.3;4.5;52.1;53.2
850120;2026-01;1.5;1.2;1.4;18.8;19.2
850120;2026-02;1.5;1.2;1.4;18.8;19.2
850120;2026-03;1.6;1.3;1.5;18.8;19.2
850120;2026-04;1.7;1.3;1.6;18.8;19.2
850120;2026-05;1.6;1.2;1.5;18.8;19.2
850120;2026-06;1.6;1.3;1.6;18.8;19.2
F_EBT;2026-01;;;;;
900110;2026-01;18.5;15.8;16.9;201.4;223.1
900110;2026-02;19.1;16.3;17.4;201.4;223.1
900110;2026-03;20.3;17.3;18.5;201.4;223.1
900110;2026-04;20.9;17.8;19.1;201.4;223.1
900110;2026-05;19.7;16.8;18.0;201.4;223.1
900110;2026-06;20.8;17.8;19.1;201.4;223.1
F_NETINCOME;2026-01;;;;;
K_NETMARGIN;2026-01;;;;;
999900;2026-01;-0.3;0.3;0.0;;
999900;2026-02;-0.3;0.3;0.0;;
999900;2026-03;-0.3;0.3;0.0;;
999900;2026-04;-0.3;0.3;0.0;;
999900;2026-05;-0.3;0.3;0.0;;
999900;2026-06;-0.3;0.3;0.0;;
